group_size;enemyCount;hasCircle;stratName;friendlyCasts0;friendlyCasts1;friendlyCasts2;friendlyCasts3;friendlyCasts4;friendlyCasts5;enemyCasts0;enemyCasts1;enemyCasts2;enemyCasts3;enemyCasts4;enemyCasts5;ticksPerSecond;friendlyTicksPerTime;enemyTicksPerTime
5;5;1;RANDOMENEMY;18;0;0;0;0;0;382;0;0;0;0;0;5.02572;2.40725;2.61847
5;5;1;RANDOMFRIENDLY;0;0;0;0;0;0;390;6;3;0;1;0;5.01834;2.40108;2.61726
5;5;1;ONESTACK;377;10;8;4;1;0;0;0;0;0;0;0;5.23201;2.7494;2.48261
5;5;1;ONESTACKENEMYFIRST;101;11;26;18;23;14;112;11;21;14;25;24;5.055;2.53121;2.52379
5;5;1;ONESTACKENEMY;0;0;0;0;0;0;263;19;20;27;31;40;5.00613;2.37274;2.63339
5;5;1;ONESTACKFRIENDLY;278;16;15;33;29;29;0;0;0;0;0;0;4.95187;2.60409;2.34778
5;5;1;TWOSTACKS;237;80;0;0;0;0;15;68;0;0;0;0;5.25711;2.69164;2.56547
5;5;1;TWOSTACKSENEMYFIRST;16;78;0;0;0;0;227;79;0;0;0;0;5.31925;2.60411;2.71514
5;5;1;TWOSTACKSENEMY;281;39;76;0;3;1;0;0;0;0;0;0;5.43038;2.85044;2.57994
5;5;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;334;60;1;3;1;1;5.39067;2.59292;2.79775
5;5;1;THREESTACKS;115;29;113;0;0;0;9;25;109;0;0;0;5.18448;2.63069;2.55379
5;5;1;THREESTACKSENEMYFIRST;14;21;119;0;0;0;104;26;116;0;0;0;5.07928;2.5139;2.56538
5;5;1;THREESTACKSENEMY;265;45;82;6;1;1;0;0;0;0;0;0;5.24244;2.75776;2.48468
5;5;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;274;40;81;1;2;2;5.27066;2.51168;2.75898
5;5;1;LOWEST;50;10;66;114;0;0;2;19;71;68;0;0;5.1095;2.58999;2.51951
5;5;1;LOWESTENEMYFIRST;3;15;58;98;0;0;44;10;59;113;0;0;5.29387;2.66362;2.63025
5;5;1;LOWESTENEMY;210;18;66;105;1;0;0;0;0;0;0;0;5.66392;2.95278;2.71114
5;5;1;LOWESTFRIENDLY;0;0;0;0;0;0;219;24;59;98;0;0;5.14004;2.44976;2.69028
5;6;1;FOCUSFRIENDLY;239;27;20;41;22;51;0;0;0;0;0;0;5.09336;2.65483;2.43853
5;6;1;FOCUSENEMY;0;0;0;0;0;0;256;15;28;27;38;36;5.42723;2.53267;2.89456
5;6;1;RANDOM;369;0;0;0;0;0;31;0;0;0;0;0;5.65885;2.8654;2.79345
5;6;1;RANDOMENEMY;8;0;0;0;0;0;392;0;0;0;0;0;4.81794;2.23287;2.58507
5;6;1;RANDOMFRIENDLY;0;0;0;0;0;0;395;1;3;0;1;0;5.46626;2.55792;2.90834
5;6;1;ONESTACK;378;10;5;7;0;0;0;0;0;0;0;0;4.93048;2.53855;2.39193
5;6;1;ONESTACKENEMYFIRST;91;8;28;17;30;20;118;6;21;9;35;17;5.41041;2.65308;2.75733
5;6;1;ONESTACKENEMY;0;0;0;0;0;0;285;19;18;17;29;32;5.16641;2.41887;2.74754
5;6;1;ONESTACKFRIENDLY;280;21;25;28;14;32;0;0;0;0;0;0;5.02244;2.6018;2.42064
5;6;1;TWOSTACKS;218;88;0;0;0;0;19;75;0;0;0;0;5.78058;2.90618;2.8744
5;6;1;TWOSTACKSENEMYFIRST;9;72;0;0;0;0;228;91;0;0;0;0;5.5605;2.64033;2.92017
5;6;1;TWOSTACKSENEMY;259;48;76;9;3;5;0;0;0;0;0;0;5.62068;2.88472;2.73596
5;6;1;TWOSTACKSFRIENDLY;0;0;0;0;0;0;333;60;0;1;3;3;5.38913;2.52874;2.86039
5;6;1;THREESTACKS;101;36;105;0;0;0;10;27;121;0;0;0;5.48168;2.73612;2.74556
5;6;1;THREESTACKSENEMYFIRST;1;28;108;0;0;0;107;24;132;0;0;0;5.71816;2.78977;2.92839
5;6;1;THREESTACKSENEMY;275;41;75;3;3;3;0;0;0;0;0;0;5.80556;2.96836;2.8372
5;6;1;THREESTACKSFRIENDLY;0;0;0;0;0;0;250;34;114;0;1;1;6.14594;2.89001;3.25593
5;6;1;LOWEST;60;12;64;114;0;0;1;17;67;65;0;0;5.33544;2.67032;2.66512
5;6;1;LOWESTENEMYFIRST;3;1;61;113;0;0;54;10;77;81;0;0;5.36573;2.64624;2.71949
5;6;1;LOWESTENEMY;203;18;58;120;0;1;0;0;0;0;0;0;5.59957;2.87786;2.72171
5;6;1;LOWESTFRIENDLY;0;0;0;0;0;0;210;24;72;94;0;0;5.76724;2.71357;3.05367
5;7;1;FOCUSFRIENDLY;219;24;21;40;24;72;0;0;0;0;0;0;5.35864;2.73258;2.62606
5;7;1;FOCUSENEMY;0;0;0;0;0;0;290;13;22;20;32;23;5.27763;2.39442;2.88321
5;7;1;RANDOM;367;0;0;0;0;0;33;0;0;0;0;0;5.48412;2.72661;2.75751
5;7;1;RANDOMENEMY;0;0;0;0;0;0;400;0;0;0;0;0;5.66799;2.57761;3.09038
5;7;1;RANDOMFRIENDLY;0;0;0;0;0;0;397;2;1;0;0;0;5.58028;2.55384;3.02644
5;7;1;ONESTACK;366;17;9;7;1;0;0;0;0;0;0;0;5.71674;2.84773;2.86901
5;7;1;ONESTACKENEMYFIRST;77;7;22;17;13;33;136;17;26;9;30;13;5.90643;2.81356;3.09287
5;7;1;ONESTACKENEMY;0;0;0;0;0;0;292;13;16;25;34;20;5.5363;2.50666;3.02964
5;7;1;ONESTACKFRIENDLY;245;17;20;40;12;66;0;0;0;0;0;0;5.71474;2.85411;2.86063
5;7;1;TWOSTACKS;196;98;0;0;0;0;31;75;0;0;0;0;5.98515;2.93086;3.05429
